doi	url	year	month	day	publisher	volume	number	pages	author	title	journal	short	index
10.1021/ja00985a027	http://dx.doi.org/10.1021/ja00985a027	1967	4		American Chemical Society (ACS)	89	9	2135-2138	Ronald Breslow, Robert Fairweather, John Keana	Metal-Catalyzed Hydration of Phenanthroline Nitrile	Journal of the American Chemical Society	J. Am. Chem. Soc.	0
10.1021/jf960649g	http://dx.doi.org/10.1021/jf960649g	1997	5		American Chemical Society (ACS)	45	5	1940-1945	Giovanni Dinelli, Alberto Vicari, Alessandra Bonetti, Pietro Catizone	Hydrolytic Dissipation of Four Sulfonylurea Herbicides	Journal of Agricultural and Food Chemistry	J. Agric. Food Chem.	1
10.1021/jf990604q	http://dx.doi.org/10.1021/jf990604q	2000	6		American Chemical Society (ACS)	48	6	2565-2571	Ilaria Braschi, Alba Pusino, Carlo Gessa, Jean-Marc Bollag	Degradation of Primisulfuron by a Combination of Chemical and Microbiological Processes	Journal of Agricultural and Food Chemistry	J. Agric. Food Chem.	8
10.1021/ja00513a037	http://dx.doi.org/10.1021/ja00513a037	1979	9		American Chemical Society (ACS)	101	19	5679-5687	Allyn R Becker, John M Janusz, Thomas C Bruice	Solution chemistry of the syn- and anti-tetrahydrodiol epoxides, the syn- and anti-tetrahydrodimethoxy epoxides, and the 1,2- and 1,4-tetrahydro epoxides of naphthalene	Journal of the American Chemical Society	J. Am. Chem. Soc.	15
10.1021/ja00791a086	http://dx.doi.org/10.1021/ja00791a086	1973	5		American Chemical Society (ACS)	95	10	3432-3434	Dale L Whalen	Buffer catalysis in epoxide hydrolyses	Journal of the American Chemical Society	J. Am. Chem. Soc.	18
10.1021/ja00458a069	http://dx.doi.org/10.1021/ja00458a069	1977	8		American Chemical Society (ACS)	99	16	5522-5524	Dale L Whalen, Jean A Montemarano, Dhiren R Thakker, Haruhiko Yagi, Donald M Jerina	Changes of mechanisms and product distributions in the hydrolysis of benzo[a]pyrene-7,8-diol 9,10,-epoxide metabolites induced by changes in pH	Journal of the American Chemical Society	J. Am. Chem. Soc.	19
10.1021/es00164a012	http://dx.doi.org/10.1021/es00164a012	1987	11		American Chemical Society (ACS)	21	11	1112-1114	William J Cooper, Mostafa Mehran, David J Riusech, Jeffrey A Joens	Abiotic transformations of halogenated organics. 1. Elimination reaction of 1,1,2,2-tetrachloroethane and formation of 1,1,2-trichloroethene	Environmental Science & Technology	Environ. Sci. Technol.	25
													32
10.1021/es00152a004	http://dx.doi.org/10.1021/es00152a004	1986	10		American Chemical Society (ACS)	20	10	992-997	Timothy M Vogel, Martin Reinhard	Reaction products and rates of disappearance of simple bromoalkanes, 1,2-dibromopropane, and 1,2-dibromoethane in water	Environmental Science & Technology	Environ. Sci. Technol.	33
10.1021/es00134a003	http://dx.doi.org/10.1021/es00134a003	1985	4		American Chemical Society (ACS)	19	4	322-327	Rene P Schwarzenbach, Walter Giger, Christian Schaffner, Oskar Wanner	Groundwater contamination by volatile halogenated alkanes: abiotic formation of volatile sulfur compounds under anaerobic conditions	Environmental Science & Technology	Environ. Sci. Technol.	50
10.1139/v59-219	http://dx.doi.org/10.1139/v59-219	1959	9	1	Canadian Science Publishing	37	9	1491-1497	P. M Laughton, R. E Robertson	SOLVOLYSIS IN HYDROGEN AND DEUTERIUM OXIDE: III. ALKYL HALIDES	Canadian Journal of Chemistry	Can. J. Chem.	51
10.1021/ja00959a006	http://dx.doi.org/10.1021/ja00959a006	1966	4		American Chemical Society (ACS)	88	7	1363-1365	A Queen, R. E Robertson	Heat Capacity of Activation for the Hydrolysis of 2,2-Dihalopropanes1	Journal of the American Chemical Society	J. Am. Chem. Soc.	67
10.1139/v56-223	http://dx.doi.org/10.1139/v56-223	1956	12	1	Canadian Science Publishing	34	12	1714-1718	P. M Laughton, R. E Robertson	SOLVOLYSIS IN DEUTERIUM AND HYDROGEN OXIDE	Canadian Journal of Chemistry	Can. J. Chem.	78
