parent_id	pH	pH min	pH max	half-life	half-life min	half-life max	half-life units	rate (k_1)	rate (k_1) min	rate (k_1) max	rate units	reaction	temperature (deg C)	activation (kcal/mol)	citation	comments	doi
173								0.154			M^-1 min^-1	Nitrile Hydrolysis	25.149999999999977	15.1	R. Breslow, R. Fairweather, and J. Keana, J. Amer. Chem. Soc., 89,2135 (1967).		10.1021/ja00985a027
150	4			2.34			days				days	Sulfonylurea Hydrolysis	15	13.867112810707457	Dinelli G. et al. J. Agric. Food Chem., Vol. 45, No. 5, 1997		10.1021/jf960649g
150	4			1.41			days				days	Sulfonylurea Hydrolysis	20	13.867112810707457	Dinelli G. et al. J. Agric. Food Chem., Vol. 45, No. 5, 1997		10.1021/jf960649g
150	4			1.06			days				days	Sulfonylurea Hydrolysis	25	13.867112810707457	Dinelli G. et al. J. Agric. Food Chem., Vol. 45, No. 5, 1997		10.1021/jf960649g
150	4			0.65			days				days	Sulfonylurea Hydrolysis	30	13.867112810707457	Dinelli G. et al. J. Agric. Food Chem., Vol. 45, No. 5, 1997		10.1021/jf960649g
150	4			0.47			days				days	Sulfonylurea Hydrolysis	35	13.867112810707457	Dinelli G. et al. J. Agric. Food Chem., Vol. 45, No. 5, 1997		10.1021/jf960649g
150	4			0.22			days				days	Sulfonylurea Hydrolysis	45	13.867112810707457	Dinelli G. et al. J. Agric. Food Chem., Vol. 45, No. 5, 1997		10.1021/jf960649g
150	4			0.12			days				days	Sulfonylurea Hydrolysis	55	13.867112810707457	Dinelli G. et al. J. Agric. Food Chem., Vol. 45, No. 5, 1997		10.1021/jf960649g
150	4			3.106			days	0.223			days^-1	Sulfonylurea Hydrolysis	25	22.66	Braschi, L. et al. J. Agric. Food Chem., Vol. 48, No. 6, 2000	paper from 128973_Primisulfuron_(PUB Hydrolysis Information)	10.1021/jf990604q
150	5			19.23			days	0.036			days^-1	Sulfonylurea Hydrolysis	25	22.66	Braschi, L. et al. J. Agric. Food Chem., Vol. 48, No. 6, 2000		10.1021/jf990604q
150	6			155.4			days	0.00446			days^-1	Sulfonylurea Hydrolysis	25	22.66	Braschi, L. et al. J. Agric. Food Chem., Vol. 48, No. 6, 2000		10.1021/jf990604q
150	7			1086			days	0.00064			days^-1	Sulfonylurea Hydrolysis	25	22.66	Braschi, L. et al. J. Agric. Food Chem., Vol. 48, No. 6, 2000		10.1021/jf990604q
150	8			951.9			days	0.00073			days^-1	Sulfonylurea Hydrolysis	25	22.66	Braschi, L. et al. J. Agric. Food Chem., Vol. 48, No. 6, 2000		10.1021/jf990604q
150	9			952.9			days	0.00073			days^-1	Sulfonylurea Hydrolysis	25	22.66	Braschi, L. et al. J. Agric. Food Chem., Vol. 48, No. 6, 2000		10.1021/jf990604q
150	10			418.6			days	0.00165			days^-1	Sulfonylurea Hydrolysis	25	22.66	Braschi, L. et al. J. Agric. Food Chem., Vol. 48, No. 6, 2000		10.1021/jf990604q
38	5							0.00031622776601683783			sec^-1	Epoxide Hydrolysis	30	15.4	Becker A.R. et al J. Am. Chem. Soc. 101, 19, 5679-5686, 1979	compound #2 in paper, Fig 1	10.1021/ja00513a037
38	7							1e-05			sec^-1	Epoxide Hydrolysis	30	15.4	Becker A.R. et al J. Am. Chem. Soc. 101, 19, 5679-5686, 1979	compound #2 in paper, Fig 1	10.1021/ja00513a037
38	9							1e-05			sec^-1	Epoxide Hydrolysis	30	15.4	Becker A.R. et al J. Am. Chem. Soc. 101, 19, 5679-5686, 1979		10.1021/ja00513a037
40								3.55			M^-1 sec^-1	Epoxide Hydrolysis	25	17.67	Whalen D.L. J. Am. Chem. Soc. 95(10), 3432, 1973	 µ= 0.1, NaCl; rate is M-1Sec-1	10.1021/ja00791a086
42	4.1							0.12589254117941667			sec^-1	Epoxide Hydrolysis	25	17.67	Whalen D.L. et al J. Am. Chem. Soc. 99(16), 5522, 1977	0.1M NaClO4 and 10^-4 M EDTA. Raw rates are log (kobs) s-1	10.1021/ja00458a069
42	7							0.0006309573444801924			sec^-1	Epoxide Hydrolysis	25	17.67	Whalen D.L. et al J. Am. Chem. Soc. 99(16), 5522, 1977	0.1M NaClO4 and 10^-4 M EDTA. Raw rates are log (kobs) s-1	10.1021/ja00458a069
42	9							0.0006309573444801924			sec^-1	Epoxide Hydrolysis	25	17.67	Whalen D.L. et al J. Am. Chem. Soc. 99(16), 5522, 1977		10.1021/ja00458a069
41	4							0.0794328234724281			sec^-1	Epoxide Hydrolysis	25	17.67	Whalen D.L. et al J. Am. Chem. Soc. 99(16), 5522, 1977	0.1M NaClO4 and 10^-4 M EDTA. Raw rates are log (kobs) s-1	10.1021/ja00458a069
41	7							0.02511886431509578			sec^-1	Epoxide Hydrolysis	25	17.67	Whalen D.L. et al J. Am. Chem. Soc. 99(16), 5522, 1977	0.1M NaClO4 and 10^-4 M EDTA. Raw rates are log (kobs) s-1	10.1021/ja00458a069
41	9							0.02511886431509578			sec^-1	Epoxide Hydrolysis	25	17.67	Whalen D.L. et al J. Am. Chem. Soc. 99(16), 5522, 1977		10.1021/ja00458a069
36	5							0.153			hr-1	Halogenated Aliphatics: Elimination	95	21.77	Cooper W.J. Et al Environ. Sci. Technol. 1987, 21, 1112-1114		10.1021/es00164a012
36	5							0.0212			hr-1	Halogenated Aliphatics: Elimination	80	21.77	Cooper W.J. Et al Environ. Sci. Technol. 1987, 21, 1112-1114		10.1021/es00164a012
36	5							0.00522			hr-1	Halogenated Aliphatics: Elimination	70	21.77	Cooper W.J. Et al Environ. Sci. Technol. 1987, 21, 1112-1114		10.1021/es00164a012
36	6.85							0.0828			hr-1	Halogenated Aliphatics: Elimination	60	21.77	Cooper W.J. Et al Environ. Sci. Technol. 1987, 21, 1112-1114		10.1021/es00164a012
36	6.85							0.0123			hr-1	Halogenated Aliphatics: Elimination	50	21.77	Cooper W.J. Et al Environ. Sci. Technol. 1987, 21, 1112-1114		10.1021/es00164a012
36	8.82							0.294			hr-1	Halogenated Aliphatics: Elimination	40	21.77	Cooper W.J. Et al Environ. Sci. Technol. 1987, 21, 1112-1114		10.1021/es00164a012
36	8.88							0.076			hr-1	Halogenated Aliphatics: Elimination	30	21.77	Cooper W.J. Et al Environ. Sci. Technol. 1987, 21, 1112-1114		10.1021/es00164a012
32	7							2.15e-08			min^-1	Halogenated Aliphatics: Elimination	25	24.69	Jeffers, P.M. et. al Environ. Sci. Tech. 23, 965, 1989	rate in min-1	
29	7							2.1e-06			sec^-1	Halogenated Aliphatics: Elimination	61	25.29	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986	yielded bromopropenes (2-bromopropene and 1-bromopropene (cis and/or trans isomers) in the approximate ratio 1:1	10.1021/es00152a004
29	9							2.1e-06			sec^-1	Halogenated Aliphatics: Elimination	61	25.29	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986	pH 7-9 nuetral hydrolysis, activation energy same	10.1021/es00152a004
29	11							5e-06			sec^-1	Halogenated Aliphatics: Elimination	61	23.49	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986	pH 11 base hydrolysis, different activation energy	10.1021/es00152a004
23	7							1.8300000000000002e-08			min^-1	Halogenated Aliphatics: Nucleophilic Substitution	25	24.89	Jeffers, P.M. et. al Environ. Sci. Tech. 23, 965, 1989	rate in min-1	
23	7							1.8300000000000002e-08			min^-1	Halogenated Aliphatics: Elimination	25	25.814	Jeffers, P.M. et. al Environ. Sci. Tech. 23, 965, 1989	rate in min-1	
23	7							1.8300000000000002e-08			min^-1	Halogenated Aliphatics: Elimination	25	24.69	Jeffers, P.M. et. al Environ. Sci. Tech. 23, 965, 1989	rate in min-1	
30	7							1e-06			sec^-1	Halogenated Aliphatics: Elimination	45	22.49	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
30	9							1.4e-06			sec^-1	Halogenated Aliphatics: Elimination	45	22.49	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
30	11							1.4e-06			sec^-1	Halogenated Aliphatics: Elimination	45	22.49	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
30	7							6.9e-06			sec^-1	Halogenated Aliphatics: Elimination	61	22.49	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
30	9							6.9e-06			sec^-1	Halogenated Aliphatics: Elimination	61	22.49	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
30	11							8.6e-06			sec^-1	Halogenated Aliphatics: Elimination	61	22.49	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
11	7							2.4e-06			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.89	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986	rate in s-1	10.1021/es00152a004
11	8							3.6e-06			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.89	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
11	9							3.1e-06			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.89	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
11	10							3.6e-06			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.89	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
11	11							2.6e-06			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.89	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
16	7							0.0007			hour^-1	Halogenated Aliphatics: Nucleophilic Substitution	25	24.89	Schwarzenbach R.P. et al  Environ. Sci. Technol 1985 19, 322-327	rate in hr-1	10.1021/es00134a003
15	7							0.00016140000000000002			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	80	24.89	Laughton, P.M. and Robertson, R.E. Can. J. Chem. 37, 1491, 1959.	rates in s-1	10.1139/v59-219
10	7							7.799999999999999e-07			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986	rate in s-1	10.1021/es00152a004
10	8							9.7e-07			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	9							7.8e-07			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	10							8.6e-07			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	11							1.4e-06			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	7							3.3e-05			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	76	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	8							3.3e-05			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	76	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	9							3.1e-05			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	76	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	10							3.1e-05			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	76	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	11							3.3e-05			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	76	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	7							0.00011			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	90	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	8							0.00011			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	90	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	9							0.0001			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	90	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	10							0.0001			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	90	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
10	11							0.00011			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	90	24.62	Vogel, T.M. and Reinhard, M Environ. Sci. Technol. 20,992, 1986		10.1021/es00152a004
31	7							2.099e-05			sec^-1	Halogenated Aliphatics: Elimination	20.095	27.53	Queen, A and Robertson, R.E. J. Am. Chem. Soc. 88, 1363, 1966		10.1021/ja00959a006
31	7							9.93e-05			sec^-1	Halogenated Aliphatics: Elimination	30.055	27.53	Queen, A and Robertson, R.E. J. Am. Chem. Soc. 88, 1363, 1966		10.1021/ja00959a006
31	7							0.00040720000000000003			sec^-1	Halogenated Aliphatics: Elimination	40.008	27.53	Queen, A and Robertson, R.E. J. Am. Chem. Soc. 88, 1363, 1966		10.1021/ja00959a006
31	7							0.0007909			sec^-1	Halogenated Aliphatics: Elimination	45.007	27.53	Queen, A and Robertson, R.E. J. Am. Chem. Soc. 88, 1363, 1966		10.1021/ja00959a006
37	7							1.8950000000000003e-05			sec^-1	Halogenated Aliphatics: Elimination	29.82	27.59	Queen, A and Robertson, R.E. J. Am. Chem. Soc. 88, 1363, 1966		10.1021/ja00959a006
37	7							8.449e-05			sec^-1	Halogenated Aliphatics: Elimination	40.324	27.59	Queen, A and Robertson, R.E. J. Am. Chem. Soc. 88, 1363, 1966		10.1021/ja00959a006
37	7							0.0003065			sec^-1	Halogenated Aliphatics: Elimination	50.267	27.59	Queen, A and Robertson, R.E. J. Am. Chem. Soc. 88, 1363, 1966		10.1021/ja00959a006
37	7							0.000558			sec^-1	Halogenated Aliphatics: Elimination	55.203	27.59	Queen, A and Robertson, R.E. J. Am. Chem. Soc. 88, 1363, 1966		10.1021/ja00959a006
97	4			231			days				days	Carboxylic Acid Ester Hydrolysis	50	14.34	EFSA 2,5-dichlorobenzoic acid methylester 10-11-2012		
97	7			78.8			days				days	Carboxylic Acid Ester Hydrolysis	50	14.34	EFSA 2,5-dichlorobenzoic acid methylester 10-11-2012		
97	9			1.6			days				days	Carboxylic Acid Ester Hydrolysis	50	14.34	EFSA 2,5-dichlorobenzoic acid methylester 10-11-2012		
4	7							0.00636			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	14	24.89	Laughton, P.M. and Robertson, R.E. Can. J. Chem. 34, 1714, 1956.	rates in s-1	10.1139/v56-223
14	7							0.0001129			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.89	Laughton, P.M. and Robertson, R.E. Can. J. Chem. 34, 1714, 1956.	rates in s-1	10.1139/v56-223
3	7							0.001			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	98	24.89	Laughton, P.M. and Robertson, R.E. Can. J. Chem. 37, 1491, 1959.	rates in s-1	10.1139/v59-219
163	13							0.0042			s^-1	Lactone Hydrolysis	25	12.49	Bombarelli RG, Calle E, Casado J, J. Org. Chem. 2013, 78, 6868-6879 Supporting Info	.1M NaOH	10.1021/jo400258w
22	7							0.00275			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	80	24.89	Laughton, P.M. and Robertson, R.E. Can. J. Chem. 37, 1491, 1959.	rates in s-1	10.1139/v59-219
18	8.5							3e-06			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	70	24.89	Ezra S. et al Environ. Sci. Technol. 2005, 39, 505-512	0.036M Borax buffer	10.1021/es0495157
18	8.5							2e-06			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	70	24.89	Ezra S. et al Environ. Sci. Technol. 2005, 39, 505-512	0.030M KH2PO4 buffer	10.1021/es0495157
18	8.98							1.1499999999999998e-07			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.89	Ezra S. et al Environ. Sci. Technol. 2005, 39, 505-512	0.036M Borax buffer	10.1021/es0495157
18	8.59							7.5e-08			sec^-1	Halogenated Aliphatics: Nucleophilic Substitution	50	24.89	Ezra S. et al Environ. Sci. Technol. 2005, 39, 505-512	0.030M KH2PO4 buffer	10.1021/es0495157
106	7							0.001009			sec^-1	Anhydride Hydrolysis	25	13.77	Hawkins M.D. J. Chem. Soc., Perkin Trans. 2, 1975, 282-284		10.1039/p29750000282
